#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
625674039|2023-02-06T02:56:35.773|36.7764|36.4879|12.1|ISC|ISC|ISC|637583131|mb|4.04|ISC|Jordan-Syria region|earthquake
625729805|2023-02-06T02:56:52.416|39.1361|38.8255|8.6|ISC|ISC|ISC|637583132|mb|4.17|ISC|Turkey|earthquake
625616584|2023-02-06T03:02:02.694|36.0040|36.2510|17.0|ISC|ISC|ISC|637583135|mb|4.27|ISC|Jordan-Syria region|earthquake
626260750|2023-02-06T03:02:16.706|37.8644|37.8449|2.4|ISC|ISC|ISC|637583136|mb|4.48|ISC|Turkey|earthquake
625613232|2023-02-06T03:04:44.158|38.1488|38.5322|6.5|ISC|ISC|ISC|637583138|MW|4.80|AFAD|Turkey|earthquake
625674040|2023-02-06T03:10:19.820|37.8644|37.8390|9.1|ISC|ISC|ISC|637583142|mb|4.36|ISC|Turkey|earthquake
626661098|2023-02-06T03:12:12.389|37.5224|37.2803|7.2|ISC|ISC|ISC|637583144|MW|4.40|AFAD|Turkey|earthquake
625638561|2023-02-06T03:16:14.995|38.1483|38.5288|4.3|ISC|ISC|ISC|637583145|MW|4.60|AFAD|Turkey|earthquake
626661105|2023-02-06T03:22:43.193|38.2299|38.6071|0.9|ISC|ISC|ISC|637583148|MW|4.30|AFAD|Turkey|earthquake
625638562|2023-02-06T03:24:30.115|37.9038|37.8802|4.7|ISC|ISC|ISC|637583149|MW|4.40|AFAD|Turkey|earthquake
626661107|2023-02-06T03:25:10.400|37.0925|36.5758|4.5|ISK|ISK|ISK|620353325|ML|4.10|ISK|Turkey|earthquake
625638563|2023-02-06T03:28:44.691|38.1284|38.5583|8.8|ISC|ISC|ISC|637583151|MW|4.20|AFAD|Turkey|earthquake
625729811|2023-02-06T03:30:01.408|37.0839|36.7867|4.6|ISC|ISC|ISC|637583152|mb|4.04|ISC|Turkey|earthquake
625638566|2023-02-06T03:41:29.003|37.3335|37.1058|16.3|ISC|ISC|ISC|637583158|mb|3.95|ISC|Turkey|earthquake
625613237|2023-02-06T03:45:48.144|38.2263|38.6121|10.6|ISC|ISC|ISC|637583161|MW|4.80|AFAD|Turkey|earthquake
625729819|2023-02-06T03:54:00.239|37.7574|37.3987|10.2|ISC|ISC|ISC|637583165|mb|4.03|ISC|Turkey|earthquake
625674042|2023-02-06T03:58:18.484|36.4678|36.3662|8.6|ISC|ISC|ISC|637583170|MW|4.20|AFAD|Jordan-Syria region|earthquake
625729824|2023-02-06T04:04:22.722|37.8684|37.3680|1.0|ISC|ISC|ISC|637583174|mb|4.36|ISC|Turkey|earthquake
625729828|2023-02-06T04:05:15.608|37.7575|37.4960|8.8|ISC|ISC|ISC|637583175|MW|4.40|AFAD|Turkey|earthquake
625729831|2023-02-06T04:05:55.372|37.0180|36.8846|8.5|ISC|ISC|ISC|637583176|MW|4.40|AFAD|Turkey|earthquake
626661120|2023-02-06T04:14:17.667|38.1651|38.5835|10.0|ISC|ISC|ISC|637583181|mb|4.32|ISC|Turkey|earthquake
626661122|2023-02-06T04:16:49.623|37.4761|37.2581|13.4|ISC|ISC|ISC|637583182|MW|4.60|AFAD|Turkey|earthquake
625613243|2023-02-06T04:18:45.828|38.1827|38.5602|7.1|ISC|ISC|ISC|637583183|MW|4.80|AFAD|Turkey|earthquake
625638571|2023-02-06T04:31:02.286|37.2495|36.8019|10.8|ISC|ISC|ISC|637583189|MW|4.00|AFAD|Turkey|earthquake
625729836|2023-02-06T04:31:24.278|36.4666|36.3753|10.0|ISC|ISC|ISC|637583190|Mws|4.33|GSI|Jordan-Syria region|earthquake
625729838|2023-02-06T04:39:45.425|37.8372|37.7529|3.5|ISC|ISC|ISC|637583192|MW|4.70|AFAD|Turkey|earthquake
625613248|2023-02-06T04:47:57.194|36.6714|36.4636|5.8|ISC|ISC|ISC|637583195|mb|4.35|ISC|Jordan-Syria region|earthquake
625729843|2023-02-06T04:56:04.994|37.4873|37.2028|9.8|ISC|ISC|ISC|637583198|MW|4.40|AFAD|Turkey|earthquake
625613259|2023-02-06T05:01:49.649|37.8760|37.8874|6.4|ISC|ISC|ISC|637583201|mb|4.48|ISC|Turkey|earthquake
