#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
616599844|2019-07-05T08:21:04.840|35.6012|-117.6040|4.2|PAS|NEIC|NEIC|612673314|ML|3.20|NEIC|Central California|earthquake
616599846|2019-07-05T08:54:02.500|35.7040|-117.5025|7.3|PAS|NEIC|NEIC|612673318|ML|3.10|NEIC|Central California|earthquake
616599849|2019-07-05T10:59:38.860|35.6042|-117.5927|2.0|PAS|NEIC|NEIC|612673334|Mwr|3.50|PAS|Central California|earthquake
616043696|2019-07-05T11:07:54.739|35.7222|-117.5744|12.3|ISC|ISC|ISC|615541511|MW|5.43|GCMT|Central California|earthquake
616599850|2019-07-05T11:10:09.580|35.7467|-117.5933|6.5|PAS|NEIC|NEIC|612673343|ML|3.60|NEIC|Central California|earthquake
616599855|2019-07-05T12:38:30.218|35.7590|-117.5724|9.5|ISC|ISC|ISC|615541517|Mwr|4.00|NEIC|Central California|earthquake
616599857|2019-07-05T12:55:04.830|35.7508|-117.5633|6.9|PAS|NEIC|NEIC|612673370|Mwr|3.70|PAS|Central California|earthquake
616314034|2019-07-05T14:39:34.316|35.7153|-117.5660|10.0|ISC|ISC|ISC|615541532|Mwr|3.90|PAS|Central California|earthquake
616314043|2019-07-05T17:02:36.416|35.6188|-117.5786|12.6|ISC|ISC|ISC|615541546|Mwr|3.80|PAS|Central California|earthquake
616599878|2019-07-06T00:13:02.560|35.7248|-117.5552|2.1|PAS|NEIC|NEIC|612673433|ML|3.20|NEIC|Central California|earthquake
616046043|2019-07-06T03:16:32.474|35.7108|-117.5483|2.8|ISC|ISC|ISC|615541591|Mwr|4.90|NEIC|Central California|earthquake
616203758|2019-07-06T03:19:55.430|35.7232|-117.6203|9.3|ISC|ISC|ISC|615541592|MW|7.03|GCMT|Central California|earthquake
616599880|2019-07-06T03:22:03.570|35.9217|-117.7290|8.2|PAS|NEIC|NEIC|612673460|ML|4.90|NEIC|Central California|earthquake
616599881|2019-07-06T03:22:48.300|35.8910|-117.7365|9.1|PAS|NEIC|NEIC|612673462|ML|4.60|PAS|Central California|earthquake
616046074|2019-07-06T03:23:50.720|35.8032|-117.6178|11.4|PAS|NEIC|NEIC|612673464|ML|4.90|NEIC|Central California|earthquake
616599883|2019-07-06T03:25:27.970|35.8607|-117.6708|10.3|PAS|NEIC|NEIC|612673466|ML|4.80|NEIC|Central California|earthquake
616599884|2019-07-06T03:27:07.010|35.9138|-117.7258|8.0|PAS|NEIC|NEIC|612673468|ML|4.50|NEIC|Central California|earthquake
616599885|2019-07-06T03:28:46.550|35.9025|-117.7222|4.8|PAS|NEIC|NEIC|612673470|ML|4.40|PAS|Central California|earthquake
616599886|2019-07-06T03:29:32.080|35.9028|-117.7115|3.2|PAS|NEIC|NEIC|612673472|ML|4.60|PAS|Central California|earthquake
616599888|2019-07-06T03:30:25.050|35.5567|-117.3582|8.7|PAS|NEIC|NEIC|612673474|ML|4.80|PAS|Central California|earthquake
616050205|2019-07-06T03:31:58.270|35.8902|-117.7122|6.3|PAS|NEIC|NEIC|612673476|ML|4.10|PAS|Central California|earthquake
616599890|2019-07-06T03:32:46.660|35.8903|-117.7303|6.2|PAS|NEIC|NEIC|612673478|ML|4.10|NEIC|Central California|earthquake
616599892|2019-07-06T03:33:09.850|35.7148|-117.5052|1.7|PAS|NEIC|NEIC|612673480|ML|4.30|NEIC|Central California|earthquake
616599894|2019-07-06T03:34:10.700|35.8977|-117.7050|7.4|PAS|NEIC|NEIC|612673482|ML|4.20|PAS|Central California|earthquake
616639318|2019-07-06T03:35:05.420|35.6522|-117.4668|2.0|PAS|NEIC|NEIC|612673484|ML|4.30|PAS|Central California|earthquake
616639328|2019-07-06T03:37:05.160|35.7327|-117.5268|2.6|PAS|NEIC|NEIC|612673488|ML|3.70|NEIC|Central California|earthquake
616639331|2019-07-06T03:37:25.270|35.8718|-117.7013|6.1|PAS|NEIC|NEIC|612673490|ML|3.70|PAS|Central California|earthquake
616639334|2019-07-06T03:38:22.930|35.9128|-117.7123|6.7|PAS|NEIC|NEIC|612673492|ML|4.00|PAS|Central California|earthquake
616639337|2019-07-06T03:39:14.680|35.6137|-117.4330|9.8|PAS|NEIC|NEIC|612673494|ML|4.00|PAS|Central California|earthquake
616639341|2019-07-06T03:40:04.140|35.9133|-117.7030|7.0|PAS|NEIC|NEIC|612673496|ML|3.60|NEIC|Central California|earthquake
616639342|2019-07-06T03:40:51.430|35.7742|-117.6118|9.9|PAS|NEIC|NEIC|612673498|ML|3.40|NEIC|Central California|earthquake
616639344|2019-07-06T03:41:38.650|35.8923|-117.7220|7.9|PAS|NEIC|NEIC|612673500|ML|4.20|PAS|Central California|earthquake
620829363|2019-07-06T03:42:52.530|35.8780|-117.7017|4.6|PAS|NEIC|NEIC|612673502|ML|3.90|NEIC|Central California|earthquake
620829365|2019-07-06T03:43:09.040|35.8865|-117.6938|9.5|PAS|NEIC|NEIC|612673504|ML|4.10|PAS|Central California|earthquake
620857234|2019-07-06T03:44:01.600|35.9135|-117.7277|7.0|PAS|NEIC|NEIC|612673506|ML|4.10|PAS|Central California|earthquake
616046050|2019-07-06T03:44:18.528|35.8890|-117.7040|8.4|ISC|ISC|ISC|615541616|mb|4.20|ISC|Central California|earthquake
616314073|2019-07-06T03:46:27.019|35.6724|-117.4702|1.7|ISC|ISC|ISC|615541617|mb|4.11|ISC|Central California|earthquake
616599895|2019-07-06T03:47:54.131|35.8904|-117.7367|8.6|ISC|ISC|ISC|615541618|Mww|5.40|NEIC|Central California|earthquake
616599897|2019-07-06T03:49:24.980|35.5572|-117.3852|3.5|PAS|NEIC|NEIC|612673518|ML|4.10|NEIC|Central California|earthquake
616599898|2019-07-06T03:49:52.420|35.8262|-117.6842|7.1|PAS|NEIC|NEIC|612673520|ML|4.00|PAS|Central California|earthquake
620829367|2019-07-06T03:50:49.350|35.9102|-117.7390|10.7|PAS|NEIC|NEIC|612673522|ML|4.00|PAS|Central California|earthquake
616046057|2019-07-06T03:51:00.362|35.8421|-117.6722|11.7|ISC|ISC|ISC|615541621|mb|4.63|ISC|Central California|earthquake
616599900|2019-07-06T03:52:54.840|35.5768|-117.4073|3.6|PAS|NEIC|NEIC|612673526|ML|3.70|NEIC|Central California|earthquake
616599901|2019-07-06T03:53:40.290|35.8697|-117.7107|5.8|PAS|NEIC|NEIC|612673528|ML|3.60|NEIC|Central California|earthquake
616599903|2019-07-06T03:54:46.680|35.7818|-117.5895|1.6|PAS|NEIC|NEIC|612673530|ML|3.60|NEIC|Central California|earthquake
616599904|2019-07-06T03:55:20.020|35.9055|-117.6875|8.4|PAS|NEIC|NEIC|612673532|ML|4.30|PAS|Central California|earthquake
616599906|2019-07-06T03:56:01.640|35.8818|-117.6740|4.4|PAS|NEIC|NEIC|612673534|ML|3.40|NEIC|Central California|earthquake
616599908|2019-07-06T03:56:33.520|35.9180|-117.7362|6.5|PAS|NEIC|NEIC|612673536|ML|3.30|NEIC|Central California|earthquake
616314074|2019-07-06T03:57:37.970|35.8908|-117.6995|4.6|PAS|NEIC|NEIC|612673538|ML|3.70|PAS|Central California|earthquake
616599910|2019-07-06T03:57:52.689|35.8574|-117.6780|10.0|ISC|ISC|ISC|615541629|mb|3.96|ISC|Central California|earthquake
616599912|2019-07-06T03:59:48.610|35.8752|-117.7142|4.4|PAS|NEIC|NEIC|612673543|ML|3.70|PAS|Central California|earthquake
616599913|2019-07-06T04:02:59.570|35.8822|-117.7163|4.8|PAS|NEIC|NEIC|612673545|ML|3.10|NEIC|Central California|earthquake
616314076|2019-07-06T04:05:27.720|35.6578|-117.4867|1.9|PAS|NEIC|NEIC|612673547|ML|3.60|NEIC|Central California|earthquake
620829384|2019-07-06T04:06:14.590|35.5783|-117.3742|6.3|PAS|NEIC|NEIC|612673551|ML|4.00|PAS|Central California|earthquake
616314077|2019-07-06T04:07:04.231|35.5472|-117.5176|1.4|ISC|ISC|ISC|615541636|mb|4.16|ISC|Central California|earthquake
616599917|2019-07-06T04:10:37.510|35.8283|-117.6773|1.5|PAS|NEIC|NEIC|612673557|ML|3.80|NEIC|Central California|earthquake
616599918|2019-07-06T04:10:49.040|35.7777|-117.5808|10.4|PAS|NEIC|NEIC|612673559|ML|3.80|NEIC|Central California|earthquake
616046301|2019-07-06T04:12:14.170|35.6808|-117.4950|2.4|PAS|NEIC|NEIC|612673563|ML|4.20|NEIC|Central California|earthquake
616599922|2019-07-06T04:13:08.091|35.5854|-117.6537|14.3|ISC|ISC|ISC|615541640|mb|4.71|ISC|Central California|earthquake
620829387|2019-07-06T04:14:20.800|35.6042|-117.4027|6.7|PAS|NEIC|NEIC|612673567|ML|3.90|NEIC|Central California|earthquake
616599926|2019-07-06T04:16:17.340|35.8255|-117.6715|6.4|PAS|NEIC|NEIC|612673572|ML|3.50|PAS|Central California|earthquake
616599928|2019-07-06T04:16:48.800|35.8240|-117.6600|5.8|PAS|NEIC|NEIC|612673574|ML|3.30|NEIC|Central California|earthquake
620829383|2019-07-06T04:18:07.940|35.6658|-117.4823|4.2|PAS|NEIC|NEIC|612673576|ML|4.10|NEIC|Central California|earthquake
616203759|2019-07-06T04:18:56.878|35.8867|-117.6905|10.4|ISC|ISC|ISC|615541645|Mwr|5.50|NEIC|Central California|earthquake
620829322|2019-07-06T04:19:54.940|35.8852|-117.7170|5.0|PAS|NEIC|NEIC|612673584|ML|4.00|PAS|Central California|earthquake
616599930|2019-07-06T04:21:35.820|35.7787|-117.6122|2.6|PAS|NEIC|NEIC|612673586|ML|4.40|PAS|Central California|earthquake
616599931|2019-07-06T04:22:16.200|35.8612|-117.6912|7.7|PAS|NEIC|NEIC|612673588|ML|3.60|PAS|Central California|earthquake
616599934|2019-07-06T04:24:14.940|35.6357|-117.4290|5.7|PAS|NEIC|NEIC|612673593|ML|3.50|NEIC|Central California|earthquake
616599935|2019-07-06T04:24:40.610|35.8915|-117.6880|4.6|PAS|NEIC|NEIC|612673594|ML|3.90|PAS|Central California|earthquake
616599937|2019-07-06T04:27:10.430|35.8873|-117.7128|3.9|PAS|NEIC|NEIC|612673596|ML|3.60|NEIC|Central California|earthquake
616599938|2019-07-06T04:28:09.260|35.8822|-117.7262|3.8|PAS|NEIC|NEIC|612673598|ML|3.40|NEIC|Central California|earthquake
616599940|2019-07-06T04:29:02.060|35.8020|-117.6317|1.4|PAS|NEIC|NEIC|612673600|ML|3.70|PAS|Central California|earthquake
620829369|2019-07-06T04:31:05.190|35.8328|-117.6682|1.5|PAS|NEIC|NEIC|612673604|ML|3.60|NEIC|Central California|earthquake
620829368|2019-07-06T04:31:19.460|35.5657|-117.3958|3.4|PAS|NEIC|NEIC|612673606|ML|3.90|PAS|Central California|earthquake
616599942|2019-07-06T04:33:24.450|35.9232|-117.7167|1.9|PAS|NEIC|NEIC|612673608|ML|3.30|NEIC|Central California|earthquake
616599943|2019-07-06T04:33:50.060|35.8285|-117.6625|3.0|PAS|NEIC|NEIC|612673610|ML|3.80|PAS|Central California|earthquake
616046048|2019-07-06T04:36:50.230|35.8688|-117.7067|2.8|PAS|NEIC|NEIC|612673612|ML|4.00|PAS|Central California|earthquake
616599945|2019-07-06T04:36:57.391|35.8530|-117.7127|10.0|ISC|ISC|ISC|615541660|Mww|4.90|NEIC|Central California|earthquake
616314078|2019-07-06T04:40:16.145|35.6315|-117.4282|3.6|ISC|ISC|ISC|615541661|mb|4.17|ISC|Central California|earthquake
616599948|2019-07-06T04:41:49.130|35.8792|-117.6895|1.5|PAS|NEIC|NEIC|612673620|ML|3.40|NEIC|Central California|earthquake
616599953|2019-07-06T04:45:36.510|35.9035|-117.7268|3.6|PAS|NEIC|NEIC|612673628|ML|3.30|NEIC|Central California|earthquake
616599955|2019-07-06T04:49:42.660|35.8763|-117.7343|4.8|PAS|NEIC|NEIC|612673632|ML|3.60|NEIC|Central California|earthquake
616599956|2019-07-06T04:50:04.100|35.7907|-117.6133|7.2|PAS|NEIC|NEIC|612673634|ML|3.80|PAS|Central California|earthquake
616599960|2019-07-06T04:50:16.025|35.8105|-117.7446|5.0|NEIC|NEIC|NEIC|612673636|ML|3.80|NEIC|Central California|earthquake
620829366|2019-07-06T04:52:04.170|35.8908|-117.7440|4.5|PAS|NEIC|NEIC|612673637|ML|3.60|PAS|Central California|earthquake
616046055|2019-07-06T04:52:18.111|35.8705|-117.6791|6.5|ISC|ISC|ISC|615541667|mb|4.20|ISC|Central California|earthquake
616599961|2019-07-06T04:53:42.020|35.8673|-117.6635|3.9|PAS|NEIC|NEIC|612673641|ML|4.00|NEIC|Central California|earthquake
616314079|2019-07-06T04:58:12.070|35.6300|-117.4318|3.1|PAS|NEIC|NEIC|612673649|ML|3.50|PAS|Central California|earthquake
616599969|2019-07-06T05:03:36.770|35.8875|-117.6970|4.1|PAS|NEIC|NEIC|612673655|ML|3.50|PAS|Central California|earthquake
616599970|2019-07-06T05:04:19.750|35.8768|-117.6907|6.8|PAS|NEIC|NEIC|612673657|ML|3.40|NEIC|Central California|earthquake
616599975|2019-07-06T05:08:11.300|35.7152|-117.5667|6.6|PAS|NEIC|NEIC|612673663|ML|3.60|NEIC|Central California|earthquake
616599976|2019-07-06T05:09:31.850|35.7502|-117.5780|2.3|PAS|NEIC|NEIC|612673665|ML|3.40|NEIC|Central California|earthquake
616599979|2019-07-06T05:13:15.040|35.8728|-117.6608|3.4|PAS|NEIC|NEIC|612673671|ML|3.90|NEIC|Central California|earthquake
616599983|2019-07-06T05:15:37.350|35.9167|-117.7553|9.1|PAS|NEIC|NEIC|612673677|ML|3.30|NEIC|Central California|earthquake
616314082|2019-07-06T05:25:05.233|35.8240|-117.6697|5.3|ISC|ISC|ISC|615541677|mb|4.12|ISC|Central California|earthquake
616599989|2019-07-06T05:26:52.970|35.6493|-117.4578|2.4|PAS|NEIC|NEIC|612673692|ML|3.90|PAS|Central California|earthquake
616599991|2019-07-06T05:28:39.240|35.9027|-117.7277|5.3|PAS|NEIC|NEIC|612673694|ML|3.40|NEIC|Central California|earthquake
616599994|2019-07-06T05:33:00.080|35.8418|-117.6838|7.1|PAS|NEIC|NEIC|612673702|ML|3.50|NEIC|Central California|earthquake
616599997|2019-07-06T05:39:14.390|35.7988|-117.6275|7.8|PAS|NEIC|NEIC|612673708|ML|3.20|NEIC|Central California|earthquake
